"Date","Expense (tags)","Amount","Currency","Description"
"2011-12-19","food","4","EUR",""
"2011-12-20","food","1.77","EUR",""
"2011-12-20","apps","1.59","EUR",""
"2011-12-22","partying","23.5","EUR",""
"2011-12-24","domain","42.64","EUR",""
"2011-12-24","food","1.9","EUR",""
"2011-12-26","energy","10","EUR",""
"2011-12-26","toggl","3.82","EUR",""
"2011-12-27","food","12.35","EUR",""
"2011-12-27","grooming","12.9","EUR",""
